         1224742 function calls in 0.091 seconds

   Ordered by: cumulative time
   List reduced from 28 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.091    0.091 similarity.py:32(similarity)
        4    0.000    0.000    0.037    0.009 __init__.py:581(__init__)
        4    0.000    0.000    0.037    0.009 __init__.py:649(update)
        4    0.022    0.006    0.037    0.009 {built-in method _collections._count_elements}
        2    0.000    0.000    0.028    0.014 similarity.py:12(normalize_text)
        2    0.008    0.004    0.027    0.014 {method 'join' of 'str' objects}
        2    0.000    0.000    0.026    0.013 similarity.py:18(cosine_similarity)
        6    0.009    0.001    0.026    0.004 {built-in method builtins.sum}
   246002    0.015    0.000    0.019    0.000 similarity.py:15(<genexpr>)
   120202    0.007    0.000    0.011    0.000 similarity.py:24(<genexpr>)
   126000    0.008    0.000    0.008    0.000 similarity.py:48(<genexpr>)
   120000    0.008    0.000    0.008    0.000 similarity.py:47(<genexpr>)
   120200    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
   246000    0.004    0.000    0.004    0.000 {method 'isalnum' of 'str' objects}
   126071    0.003    0.000    0.003    0.000 similarity.py:26(<genexpr>)
   120202    0.003    0.000    0.003    0.000 similarity.py:25(<genexpr>)
        2    0.000    0.000    0.000    0.000 {method 'casefold' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {built-in method unicodedata.normalize}
        4    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        4    0.000    0.000    0.000    0.000 abc.py:117(__instancecheck__)
        4    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        2    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
        8    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


         1224742 function calls in 0.091 seconds

   Ordered by: internal time
   List reduced from 28 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.022    0.006    0.037    0.009 {built-in method _collections._count_elements}
   246002    0.015    0.000    0.019    0.000 similarity.py:15(<genexpr>)
        6    0.009    0.001    0.026    0.004 {built-in method builtins.sum}
        2    0.008    0.004    0.027    0.014 {method 'join' of 'str' objects}
   126000    0.008    0.000    0.008    0.000 similarity.py:48(<genexpr>)
   120000    0.008    0.000    0.008    0.000 similarity.py:47(<genexpr>)
   120202    0.007    0.000    0.011    0.000 similarity.py:24(<genexpr>)
   120200    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
   246000    0.004    0.000    0.004    0.000 {method 'isalnum' of 'str' objects}
   126071    0.003    0.000    0.003    0.000 similarity.py:26(<genexpr>)
   120202    0.003    0.000    0.003    0.000 similarity.py:25(<genexpr>)
        2    0.000    0.000    0.000    0.000 {method 'casefold' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {built-in method unicodedata.normalize}
        1    0.000    0.000    0.091    0.091 similarity.py:32(similarity)
        2    0.000    0.000    0.026    0.013 similarity.py:18(cosine_similarity)
        4    0.000    0.000    0.037    0.009 __init__.py:581(__init__)
        4    0.000    0.000    0.037    0.009 __init__.py:649(update)
        2    0.000    0.000    0.028    0.014 similarity.py:12(normalize_text)
        4    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        4    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        2    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
        8    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        4    0.000    0.000    0.000    0.000 abc.py:117(__instancecheck__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


